BName,Material,Name,Sch,Angle,Type,Pattern,Odia,Orad,Idia,Irad,Length,R
SUS_15A_SGP_90EL_LONG,SUS,15A,SGP,90,LONG,1,21.7,10.85,16.1,8.05,38.1,38.1
SUS_20A_SGP_90EL_LONG,SUS,20A,SGP,90,LONG,1,27.2,13.6,21.6,10.8,38.1,38.1
SUS_25A_SGP_90EL_LONG,SUS,25A,SGP,90,LONG,1,34,17,27.6,13.8,38.1,38.1
SUS_32A_SGP_90EL_LONG,SUS,32A,SGP,90,LONG,1,42.7,21.35,35.7,17.85,47.6,47.6
SUS_40A_SGP_90EL_LONG,SUS,40A,SGP,90,LONG,1,48.6,24.3,41.6,20.8,57.2,57.2
SUS_50A_SGP_90EL_LONG,SUS,50A,SGP,90,LONG,1,60.5,30.25,52.9,26.45,76.2,76.2
SUS_65A_SGP_90EL_LONG,SUS,65A,SGP,90,LONG,1,76.3,38.15,67.9,33.95,95.3,95.3
SUS_80A_SGP_90EL_LONG,SUS,80A,SGP,90,LONG,1,89.1,44.55,80.7,40.35,114.3,114.3
SUS_90A_SGP_90EL_LONG,SUS,90A,SGP,90,LONG,1,101.6,50.8,93.2,46.6,133.4,133.4
SUS_100A_SGP_90EL_LONG,SUS,100A,SGP,90,LONG,1,114.3,57.15,105.3,52.65,152.4,152.4
SUS_125A_SGP_90EL_LONG,SUS,125A,SGP,90,LONG,1,139.8,69.9,130.8,65.4,190.5,190.5
SUS_150A_SGP_90EL_LONG,SUS,150A,SGP,90,LONG,1,165.2,82.6,155.2,77.6,228.6,228.6
SUS_200A_SGP_90EL_LONG,SUS,200A,SGP,90,LONG,1,216.3,108.15,204.7,102.35,304.8,304.8
SUS_250A_SGP_90EL_LONG,SUS,250A,SGP,90,LONG,1,267.4,133.7,254.2,127.1,381,381
SUS_300A_SGP_90EL_LONG,SUS,300A,SGP,90,LONG,1,318.5,159.25,304.7,152.35,457.2,457.2
SUS_350A_SGP_90EL_LONG,SUS,350A,SGP,90,LONG,1,355.6,177.8,339.8,169.9,533.4,533.4
SUS_400A_SGP_90EL_LONG,SUS,400A,SGP,90,LONG,1,406.4,203.2,390.6,195.3,609.6,609.6
SUS_450A_SGP_90EL_LONG,SUS,450A,SGP,90,LONG,1,457.2,228.6,441.4,220.7,685.8,685.8
SUS_500A_SGP_90EL_LONG,SUS,500A,SGP,90,LONG,1,508,254,492.2,246.1,762,762
SUS_25A_SGP_90EL_SHORT,SUS,25A,SGP,90,SHORT,1,34,17,27.6,13.8,25.4,25.4
SUS_32A_SGP_90EL_SHORT,SUS,32A,SGP,90,SHORT,1,42.7,21.35,35.7,17.85,31.8,31.8
SUS_40A_SGP_90EL_SHORT,SUS,40A,SGP,90,SHORT,1,48.6,24.3,41.6,20.8,38.1,38.1
SUS_50A_SGP_90EL_SHORT,SUS,50A,SGP,90,SHORT,1,60.5,30.25,52.9,26.45,50.8,50.8
SUS_65A_SGP_90EL_SHORT,SUS,65A,SGP,90,SHORT,1,76.3,38.15,67.9,33.95,63.5,63.5
SUS_80A_SGP_90EL_SHORT,SUS,80A,SGP,90,SHORT,1,89.1,44.55,80.7,40.35,76.2,76.2
SUS_90A_SGP_90EL_SHORT,SUS,90A,SGP,90,SHORT,1,101.6,50.8,93.2,46.6,88.9,88.9
SUS_100A_SGP_90EL_SHORT,SUS,100A,SGP,90,SHORT,1,114.3,57.15,105.3,52.65,101.6,101.6
SUS_125A_SGP_90EL_SHORT,SUS,125A,SGP,90,SHORT,1,139.8,69.9,130.8,65.4,127,127
SUS_150A_SGP_90EL_SHORT,SUS,150A,SGP,90,SHORT,1,165.2,82.6,155.2,77.6,152.4,152.4
SUS_200A_SGP_90EL_SHORT,SUS,200A,SGP,90,SHORT,1,216.3,108.15,204.7,102.35,203.2,203.2
SUS_250A_SGP_90EL_SHORT,SUS,250A,SGP,90,SHORT,1,267.4,133.7,254.2,127.1,254,254
SUS_300A_SGP_90EL_SHORT,SUS,300A,SGP,90,SHORT,1,318.5,159.25,304.7,152.35,304.8,304.8
SUS_350A_SGP_90EL_SHORT,SUS,350A,SGP,90,SHORT,1,355.6,177.8,339.8,169.9,355.6,355.6
SUS_400A_SGP_90EL_SHORT,SUS,400A,SGP,90,SHORT,1,406.4,203.2,390.6,195.3,406.4,406.4
SUS_450A_SGP_90EL_SHORT,SUS,450A,SGP,90,SHORT,1,457.2,228.6,441.4,220.7,457.2,457.2
SUS_500A_SGP_90EL_SHORT,SUS,500A,SGP,90,SHORT,1,508,254,492.2,246.1,508,508
SUS_15A_SGP_45EL_LONG,SUS,15A,SGP,45,LONG,1,21.7,10.85,16.1,8.05,15.8,15.8
SUS_20A_SGP_45EL_LONG,SUS,20A,SGP,45,LONG,1,27.2,13.6,21.6,10.8,15.8,15.8
SUS_25A_SGP_45EL_LONG,SUS,25A,SGP,45,LONG,1,34,17,27.6,13.8,15.8,15.8
SUS_32A_SGP_45EL_LONG,SUS,32A,SGP,45,LONG,1,42.7,21.35,35.7,17.85,19.7,19.7
SUS_40A_SGP_45EL_LONG,SUS,40A,SGP,45,LONG,1,48.6,24.3,41.6,20.8,23.7,23.7
SUS_50A_SGP_45EL_LONG,SUS,50A,SGP,45,LONG,1,60.5,30.25,52.9,26.45,31.6,31.6
SUS_65A_SGP_45EL_LONG,SUS,65A,SGP,45,LONG,1,76.3,38.15,67.9,33.95,39.5,39.5
SUS_80A_SGP_45EL_LONG,SUS,80A,SGP,45,LONG,1,89.1,44.55,80.7,40.35,47.3,47.3
SUS_90A_SGP_45EL_LONG,SUS,90A,SGP,45,LONG,1,101.6,50.8,93.2,46.6,55.3,55.3
SUS_100A_SGP_45EL_LONG,SUS,100A,SGP,45,LONG,1,114.3,57.15,105.3,52.65,63.1,63.1
SUS_125A_SGP_45EL_LONG,SUS,125A,SGP,45,LONG,1,139.8,69.9,130.8,65.4,78.9,78.9
SUS_150A_SGP_45EL_LONG,SUS,150A,SGP,45,LONG,1,165.2,82.6,155.2,77.6,94.7,94.7
SUS_200A_SGP_45EL_LONG,SUS,200A,SGP,45,LONG,1,216.3,108.15,204.7,102.35,126.3,126.3
SUS_250A_SGP_45EL_LONG,SUS,250A,SGP,45,LONG,1,267.4,133.7,254.2,127.1,157.8,157.8
SUS_300A_SGP_45EL_LONG,SUS,300A,SGP,45,LONG,1,318.5,159.25,304.7,152.35,189.4,189.4
SUS_350A_SGP_45EL_LONG,SUS,350A,SGP,45,LONG,1,355.6,177.8,339.8,169.9,220.9,220.9
SUS_400A_SGP_45EL_LONG,SUS,400A,SGP,45,LONG,1,406.4,203.2,390.6,195.3,252.5,252.5
SUS_450A_SGP_45EL_LONG,SUS,450A,SGP,45,LONG,1,457.2,228.6,441.4,220.7,284.1,284.1
SUS_500A_SGP_45EL_LONG,SUS,500A,SGP,45,LONG,1,508,254,492.2,246.1,315.6,315.6
SUS_40A_SGP_45EL_SHORT,SUS,40A,SGP,45,SHORT,1,48.6,24.3,41.6,20.8,15.8,15.8
SUS_50A_SGP_45EL_SHORT,SUS,50A,SGP,45,SHORT,1,60.5,30.25,52.9,26.45,21,21
SUS_65A_SGP_45EL_SHORT,SUS,65A,SGP,45,SHORT,1,76.3,38.15,67.9,33.95,26.3,26.3
SUS_80A_SGP_45EL_SHORT,SUS,80A,SGP,45,SHORT,1,89.1,44.55,80.7,40.35,31.6,31.6
SUS_90A_SGP_45EL_SHORT,SUS,90A,SGP,45,SHORT,1,101.6,50.8,93.2,46.6,36.8,36.8
SUS_100A_SGP_45EL_SHORT,SUS,100A,SGP,45,SHORT,1,114.3,57.15,105.3,52.65,42.1,42.1
SUS_125A_SGP_45EL_SHORT,SUS,125A,SGP,45,SHORT,1,139.8,69.9,130.8,65.4,52.6,52.6
SUS_150A_SGP_45EL_SHORT,SUS,150A,SGP,45,SHORT,1,165.2,82.6,155.2,77.6,63.1,63.1
SUS_200A_SGP_45EL_SHORT,SUS,200A,SGP,45,SHORT,1,216.3,108.15,204.7,102.35,84.2,84.2
SUS_250A_SGP_45EL_SHORT,SUS,250A,SGP,45,SHORT,1,267.4,133.7,254.2,127.1,105.2,105.2
SUS_300A_SGP_45EL_SHORT,SUS,300A,SGP,45,SHORT,1,318.5,159.25,304.7,152.35,126.2,126.2
SUS_350A_SGP_45EL_SHORT,SUS,350A,SGP,45,SHORT,1,355.6,177.8,339.8,169.9,147.3,147.3
SUS_400A_SGP_45EL_SHORT,SUS,400A,SGP,45,SHORT,1,406.4,203.2,390.6,195.3,168.3,168.3
SUS_450A_SGP_45EL_SHORT,SUS,450A,SGP,45,SHORT,1,457.2,228.6,441.4,220.7,189.4,189.4
SUS_500A_SGP_45EL_SHORT,SUS,500A,SGP,45,SHORT,1,508,254,492.2,246.1,210.4,210.4
